Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Algeria,DZA,,,52.49607849,54.33348846,57.64450073,63.34669113,70.02174377,73.04141235,75.79994202,74.84150696,72.9539032,78.04769897,77.25315857,79.73156738,85.00557709,101.0099869,81.57376099,82.7383194,83.42189026,86.22503662,84.57994843,81.97585297,85.22522736,84.8139801,83.43105316,84.0384903,86.54222107,85.35891724,,83.62003326,79.98581696,86.21334839,88.06337738,90.07537079,91.1588974,93.55741119,84.72257233,93.7755127,118.8302917,91.05117035,95.80918884,97.91375732,101.7299576,106.1171799,107.8273392,105.5353317,105.5189819,105.5649338,
East Asia & Pacific (excluding high income),EAP,,,,,,,,,,,,,,,,,,,,,,,,,,95.43515778,92.12181854,90.95334625,91.60656738,92.29466248,93.125,94.04411316,93.09909058,92.57984924,91.75087738,90.85639191,90.04380035,93.92043304,99.64653778,101.2371674,102.1642838,100.5014038,100.5356674,98.93798828,95.73068237,93.6013031,95.20400238,97.10140991,
Early-demographic dividend,EAR,57.63188171,57.68708038,58.08060837,59.00056076,59.36883163,60.47917175,61.64004135,62.39896011,63.31221008,63.92424011,65.31246948,66.90995789,68.58654785,70.30090332,72.43331909,74.46234894,75.47110748,76.3327179,77.36847687,77.54149628,77.71131897,77.90039825,78.55277252,79.09403229,79.52638245,79.91474152,79.5163269,79.36405945,79.22437286,78.94970703,80.40116882,80.71054077,82.48905945,83.29469299,84.71797943,86.17363739,86.43998718,87.71128845,88.95292664,89.4704895,89.97382355,89.59591675,90.98264313,91.49604797,93.19104004,93.36692047,92.92357635,93.20896912,
East Asia & Pacific,EAS,,,,,,,,,,,,,,,,,,,,,,,,,,95.83286285,92.64163971,91.43881226,92.06278229,92.70104218,93.45677948,94.34152985,93.30345917,92.89173889,92.21981049,91.41280365,90.6906662,94.46743011,99.69877625,101.140358,101.9789429,100.5352173,100.6866989,99.09561157,96.01344299,94.06038666,95.4833374,97.2498703,
Europe & Central Asia (excluding high income),ECA,,,,,,,,,,,,,,,,,,,,,,,96.84912872,95.98731232,95.90219879,94.76502228,94.22055817,94.7148819,94.72337341,94.56948853,94.69628906,96.85424805,97.71543121,97.22411346,98.20279694,99.8181076,97.54965973,96.07212067,96.48739624,97.43401337,97.65601349,98.80332184,98.16327667,98.63625336,98.15498352,99.04171753,97.57550812,97.64653015,
Europe & Central Asia,ECS,,,,,,,,,,,,,,,,,,,,,,,96.77121735,96.50312042,96.09661865,95.43933105,95.40196228,95.7358017,95.83281708,95.83141327,95.84197235,97.51805878,97.66345215,97.37348175,97.68843079,97.78333282,96.48371124,96.22350311,96.54329681,97.0351181,97.25984955,97.8117218,97.15724182,97.34636688,96.93933868,97.70874023,96.82012939,96.87094116,
Ecuador,ECU,,57.65777969,55.98426056,59.54397964,63.0968399,66.96620941,71.3380127,72.88777161,71.66069794,76.51248169,79.50769806,,,,,,,95.81005859,95.27748871,,,,,,94.85286713,92.57364655,92.14266205,95.41470337,,95.93498993,96.43605042,96.46472168,96.64807892,96.00022125,95.85253906,100.1530075,100.4670334,100.004631,,98.72373199,105.6147919,109.7922821,111.1492462,111.7011185,115.0802917,108.3857498,104.4237976,,
"Egypt, Arab Rep.",EGY,,68.5120697,64.44819641,68.51051331,70.21439362,73.82898712,74.67209625,75.02036285,69.4577713,47.13214111,54.7003212,64.90988922,,,,,83.19416809,,,,,,,,,,,90.76706696,,92.341362,90.34940338,88.57090759,85.92899323,87.97145081,89.87941742,93.70523071,88.0266571,93.74420166,,98.37309265,101.5297775,,,100.0826569,,,93.244133,94.55883789,
Euro area,EMU,93.9744873,93.96105957,94.1031723,94.21475983,94.6556015,96.5094986,96.09294891,96.04720306,95.87371063,95.6474762,95.84230042,95.59544373,95.55419159,95.32980347,95.84757996,96.26158905,96.30724335,95.1427002,96.54380798,96.86694336,96.88197327,96.90474701,97.19992065,97.01030731,96.15619659,95.95738983,95.9163208,95.8260498,96.31861115,96.73927307,96.62261963,97.6087265,96.258461,96.15937805,95.65480042,94.14752197,94.21334076,95.79149628,96.05024719,96.12612152,96.17327118,95.95131683,94.95224762,94.59606171,94.28555298,94.87017822,94.00369263,93.99282837,
Eritrea,ERI,,,,,,,,,,,,,,,,,,,,,,,,,21.58930969,26.74566078,37.6272583,41.45021057,,37.14279938,39.20240021,39.76678848,41.36516953,47.30976105,56.24549866,65.07337952,63.74797058,60.329319,59.76607895,60.84115982,50.74002075,48.94031906,45.5454483,43.12321091,,45.43135834,,47.85665894,
Spain,ESP,,,,,,,,,,,,97.41275787,97.18531036,98.25395203,101.9981918,103.212738,103.2014008,100.0578003,105.076683,104.3544006,100.2429504,,,100.6954803,102.0728302,,,,,,,,,,101.9724197,,96.8127594,98.21749115,99.59844971,102.0052872,103.6788635,101.8103409,102.2727966,98.94345856,97.41725922,98.53650665,96.79007721,,
Estonia,EST,,,,,,,,,,,,,,,,,,,,,,,,,,78.78507996,90.77292633,,89.21169281,92.45722198,94.83705139,100.1871796,101.6268463,107.3911667,102.7463074,103.5701904,96.85558319,95.59588623,95.23674011,98.81710815,101.9814835,101.5529022,105.0352325,104.7802811,100.1797714,98.26682281,94.78206635,,
