Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Costa Rica,CRI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5042.177837,5194.406094,5655.698824,6045.608399,6291.840581,6525.432579,6566.326179,6885.746719,7277.761628,7518.172398,7827.950208,8137.873606,8395.304778,8791.291209,9287.293326,9814.665735,10694.91862,11711.4279,12326.99674,12139.04639,12733.99002,13397.23054,14144.20628,14555.49563,15187.09038,15740.60049,16419.5978,17109.751,
Caribbean small states,CSS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6052.061462,6332.737881,6428.528778,6717.382416,6990.380051,7289.552545,7611.991842,7929.528424,8189.098854,8594.927756,9063.446083,9411.919688,9866.361926,10662.27483,11359.2642,12086.35984,13289.46519,14021.88234,14430.9309,13945.01094,14250.08368,14616.7587,14989.54833,15311.78268,15612.43868,15856.77061,15597.13406,15809.10119,
Cuba,CUB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27907.86617,,,,,,,
Cayman Islands,CYM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49742.48105,49507.98858,48835.77315,48358.67557,48348.54811,48889.20028,49323.61474,52744.54646,55264.30451,56878.65858,56211.59016,51250.07319,49350.77454,50004.90187,50744.00142,51535.36845,53174.56855,54536.75644,56329.05701,58302.51441,
Cyprus,CYP,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13322.55021,13513.42247,14723.71037,14817.37139,15697.48771,17069.6064,17297.42249,17778.7576,18758.52947,19662.74423,21291.47351,22871.38367,23556.41393,24252.8976,25921.20444,27763.17739,29984.18506,32849.94104,34824.08299,33888.28523,33230.79894,33192.3369,31914.68342,30620.86215,30390.60807,31578.35443,33682.47908,36012.37464,
Czech Republic,CZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12659.85231,11595.61886,11787.73981,12061.94922,12673.35194,13752.51401,14583.43317,14730.61502,14906.39822,15324.10643,16190.80503,17554.48772,18189.23435,19426.08513,20799.15764,21956.38386,23776.48706,26124.89545,27844.79533,27599.30086,27667.4329,28797.41796,29047.24644,30485.71415,32263.31575,33691.42424,35230.52246,38019.58051,
Germany,DEU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19423.01976,20952.37284,21676.67616,21834.09225,22769.20351,23581.17573,24109.58982,24644.53123,25392.58178,26360.14719,27298.10872,28475.87631,29326.91207,29989.9854,31417.36334,31968.46745,34241.76771,36450.82087,38028.77214,37042.44788,39187.40265,42692.51976,43564.14802,45232.19785,47190.76935,47979.4842,49921.33062,52555.93264,
Djibouti,DJI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2705.405589,,,,,,,
Dominica,DMA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4271.672052,4478.590683,4665.240295,4863.061729,4956.896464,5213.98164,5491.169195,5738.823231,6059.682887,6208.425208,6519.421726,6664.379124,6560.762285,7089.418047,7476.076193,7739.994331,8328.228204,9074.781371,9894.36846,9831.450003,9988.864847,10135.27403,10174.03663,10239.07632,10834.10702,10614.67485,10944.38997,10037.42586,
